KAM,Nº DO PEDIDO,CLIENTE,DATA RECEBIMENTO SM,DATA RECEBIMENTO OFICIAL (PEDIDO COMPLETO),DATA APROVAÇÃO NO TOTVS,DATA ENVIO PARA O PD,PENDÊNCIAS (MOTIVO)
Leonardo Dib,LIVNEO526062,NEOSOLAR ENERGIA LTDA,,19/5/2026,21/5/2026,21/5/2026,
Fabiam Lourenco,LIVLIL526064,LILE GASTRONOMIA,,13/3/2026,,,
Leonardo Dib,LIVAMA526066,AMARA NET ZERO BRASIL LTDA,,14/5/2026,23/5/2026,22/5/2026,Não tem estoque de todos os produtos
Wilton Moura,LIVBAE526067,BAELETRICA LTDA,,21/5/2026,26/5/2026,26/5/2026,SM Eletra incluiu no Totvs. VOu incluir um novo! LIVBAE526067
Anna Julia Junkes,LIVTRO526068,TROOVE COMERCIO E SERVICOS LTDA,,18/5/0206,2/6/2026,27/5/2026,Time Sm Eletra incluiu no sistema mas não aparece para mim! Refiz.
Anna Julia Junkes,LIVTRO526069,TROOVE COMERCIO E SERVICOS LTDA,,18/5/0206,2/6/2026,27/5/2026,Time Sm Eletra incluiu no sistema mas não aparece para mim! Refiz.
Anna Julia Junkes,LIVTRO526070,TROOVE COMERCIO E SERVICOS LTDA,,18/5/0206,2/6/2026,27/5/2026,Time Sm Eletra incluiu no sistema mas não aparece para mim! Refiz.
Beatriz Sales,LIVEUR526072,EUROVIA AUTO LTDA,,23/5/2026,23/5/2026,23/5/2026,
Beatriz Sales,LIVGRE526073,GREENV MOBILIDADE ELETRICA BRASIL S.A,,22/5/2026,23/5/2026,23/5/2026,Confirmar se é matriz ou filial
Anna Julia Junkes,LIVBOA526075,BOA VIAGEM COM.DERIV. DE PETROLEO LTDA,,12/5/2026,23/5/2026,23/5/2026,Pedido antigo1348993952
Wilton Moura,LIVTEI526077,TEIXEIRA COMERCIO DE EQUIPAMENTOS ELETRONICOS LTDA,,13/5/2026,25/5/2026,23/5/2026,
Wilton Moura,LIVDLM526078,DLM ACESSORIA DE VENDA LTDA,,14/5/2026,27/5/2026,27/5/2026,Incluir pedido no Totvs
Kelly Li,LIVRTR526079,JOINING COMERCIO ELETRO-ELETRICOS LTDA,,18/5/2026,1/6/2026,1/6/2026,Informei para a Kelly que o Sinosure vence no dia 27/05. E aprovaram outro.
Anna Julia Junkes,1352058370,BMCHAVES COMERCIO DE COMBUSTIVEIS LTDA,,19/5/2026,3/6/2026,3/6/2026,Incluir pedido no Totvs
Bruno Reis,1350373764,Viação Piracicabana,,13/5/2026,27/5/2026,27/5/2026,Produto Chegou da China muito teMpo depois. Incluir pedido no Totvs. Vamos faturar 160k e depois o cliente vai devolver para faturarmos o 180k
Bruno Reis,LIVVIA526094,Viação Piracicabana,,,,,AGUARDANDO PRODUTO 180K CHEGAR PARA ENVIAR PARA O CLIENTE
